# 3D Systems, Inc.
# New Model
1021.5484317 -644.3847704 -564.5053541
1021.5770069 -644.3847704 -564.4775976
1021.6083658 -644.3847704 -564.4530972
1021.6421065 -644.3847704 -564.4320224
1021.6777458 -644.3847704 -564.4143510
1021.7148035 -644.3847704 -564.3998862
1021.7528641 -644.3847704 -564.3883100
1021.7916023 -644.3847704 -564.3792454
1021.8307820 -644.3847704 -564.3723034
1021.8702403 -644.3847704 -564.3671115
1021.9098681 -644.3847704 -564.3633251
1021.9495941 -644.3847704 -564.3606304
1021.9893712 -644.3847704 -564.3587398
1022.0291683 -644.3847704 -564.3573867
1022.0689629 -644.3847704 -564.3563186
1022.1087489 -644.3847704 -564.3553196
1022.1485388 -644.3847704 -564.3543505
1022.1883292 -644.3847704 -564.3534365
1022.9435548 -644.3847704 -564.3775199
1022.2281205 -644.3847704 -564.3526034
1022.2679133 -644.3847704 -564.3518766
1022.3077078 -644.3847704 -564.3512820
1022.3475041 -644.3847704 -564.3508454
1022.3873018 -644.3847704 -564.3505925
1022.4271005 -644.3847704 -564.3505492
1022.4668995 -644.3847704 -564.3507414
1022.5066966 -644.3847704 -564.3511946
1022.5464887 -644.3847704 -564.3519346
1022.5862733 -644.3847704 -564.3529868
1022.6260473 -644.3847704 -564.3543763
1022.6658073 -644.3847704 -564.3561280
1022.7055504 -644.3847704 -564.3582573
1022.7452734 -644.3847704 -564.3607434
1022.7849750 -644.3847704 -564.3635574
1022.8246535 -644.3847704 -564.3666706
1022.8643076 -644.3847704 -564.3700541
1022.9039410 -644.3847704 -564.3736799
1023.4577445 -644.3847704 -564.4350220
1023.4972985 -644.3847704 -564.4394339
1023.5368551 -644.3847704 -564.4438282
1023.5764132 -644.3847704 -564.4482069
1023.6159726 -644.3847704 -564.4525722
1023.6555332 -644.3847704 -564.4569261
1023.2204733 -644.3847704 -564.4080665
1023.2600120 -644.3847704 -564.4126247
1023.2995529 -644.3847704 -564.4171562
1023.3390968 -644.3847704 -564.4216596
1023.3786435 -644.3847704 -564.4261369
1023.4181928 -644.3847704 -564.4305904
1022.9831507 -644.3847704 -564.3815461
1023.0227305 -644.3847704 -564.3857308
1023.0622963 -644.3847704 -564.3900462
1023.1018506 -644.3847704 -564.3944648
1023.1413960 -644.3847704 -564.3989593
1023.1809356 -644.3847704 -564.4035022
1024.3976867 -644.3847704 -564.5887852
1024.3227638 -644.3847704 -564.5619950
1024.3604663 -644.3847704 -564.5747193
1024.1685669 -644.3847704 -564.5227327
1024.2074955 -644.3847704 -564.5309981
1024.2462128 -644.3847704 -564.5402299
1024.2846561 -644.3847704 -564.5505293
1024.0114643 -644.3847704 -564.4971890
1024.0508875 -644.3847704 -564.5026608
1024.0902301 -644.3847704 -564.5086711
1024.1294667 -644.3847704 -564.5153261
1023.7346572 -644.3847704 -564.4656083
1023.7742203 -644.3847704 -564.4699409
1023.8137839 -644.3847704 -564.4742705
1023.8533476 -644.3847704 -564.4785995
1023.8929088 -644.3847704 -564.4829585
1023.9324581 -644.3847704 -564.4874414
1023.9719818 -644.3847704 -564.4921505
1023.6950948 -644.3847704 -564.4612708
1025.1424190 -644.3847704 -564.9909611
1025.1140670 -644.3847704 -564.9631092
1025.0858043 -644.3847704 -564.9352051
1025.0573589 -644.3847704 -564.9073496
1025.0283009 -644.3847704 -564.8797599
1024.9980836 -644.3847704 -564.8533564
1024.8141018 -644.3847704 -564.8219610
1024.8510583 -644.3847704 -564.8366582
1024.8901881 -644.3847704 -564.8371557
1024.9274535 -644.3847704 -564.8235676
1024.9653692 -644.3847704 -564.8311498
1024.7792815 -644.3847704 -564.8029710
1024.7111777 -644.3847704 -564.7611646
