# 3D Systems, Inc.
# New Model
1032.2001200 -638.3847704 -564.4432658
1032.2439208 -638.3847704 -564.4418347
1032.2877008 -638.3847704 -564.4398663
1032.3314513 -638.3847704 -564.4373284
1032.3751628 -638.3847704 -564.4341892
1032.4188241 -638.3847704 -564.4304173
1032.4624229 -638.3847704 -564.4259817
1032.5059455 -638.3847704 -564.4208521
1032.5493766 -638.3847704 -564.4149992
1032.5927022 -638.3847704 -564.4084104
1032.6359229 -638.3847704 -564.4011629
1032.6790479 -638.3847704 -564.3933651
1032.7220906 -638.3847704 -564.3851238
1032.7650674 -638.3847704 -564.3765448
1032.8079971 -638.3847704 -564.3677326
1032.8509001 -638.3847704 -564.3587907
1032.8937976 -638.3847704 -564.3498222
1032.9367110 -638.3847704 -564.3409298
1032.9796611 -638.3847704 -564.3322167
1033.0226664 -638.3847704 -564.3237811
1033.0657371 -638.3847704 -564.3156864
1033.1088792 -638.3847704 -564.3079820
1033.1520976 -638.3847704 -564.3007181
1033.1953955 -638.3847704 -564.2939452
1033.2387746 -638.3847704 -564.2877144
1033.2822347 -638.3847704 -564.2820776
1033.3257735 -638.3847704 -564.2770865
1033.3693864 -638.3847704 -564.2727933
1033.4130665 -638.3847704 -564.2692503
1033.4568035 -638.3847704 -564.2665010
1033.5005827 -638.3847704 -564.2645290
1033.5443889 -638.3847704 -564.2632907
1033.5882094 -638.3847704 -564.2627422
1033.6320333 -638.3847704 -564.2628388
1033.6758519 -638.3847704 -564.2635361
1033.7196583 -638.3847704 -564.2647895
1033.7634472 -638.3847704 -564.2665549
1034.2437416 -638.3847704 -564.3071042
1034.2873403 -638.3847704 -564.3115500
1034.3309454 -638.3847704 -564.3159317
1034.3745589 -638.3847704 -564.3202258
1034.4181820 -638.3847704 -564.3244206
1034.4618157 -638.3847704 -564.3285046
1034.5054606 -638.3847704 -564.3324661
1034.5491175 -638.3847704 -564.3362935
1034.5927869 -638.3847704 -564.3399752
1033.8072147 -638.3847704 -564.2687883
1033.8509587 -638.3847704 -564.2714460
1033.8946778 -638.3847704 -564.2744847
1033.9383720 -638.3847704 -564.2778594
1033.9820430 -638.3847704 -564.2815247
1034.0256928 -638.3847704 -564.2854354
1034.0693242 -638.3847704 -564.2895466
1034.1129407 -638.3847704 -564.2938135
1034.1565462 -638.3847704 -564.2981917
1034.2001450 -638.3847704 -564.3026366
1034.7238741 -638.3847704 -564.3500287
1034.7675967 -638.3847704 -564.3530114
1034.8113316 -638.3847704 -564.3558082
1034.8550769 -638.3847704 -564.3584369
1034.8988310 -638.3847704 -564.3609156
1034.9425924 -638.3847704 -564.3632624
1034.9863598 -638.3847704 -564.3654956
1035.0301319 -638.3847704 -564.3676334
1035.0739078 -638.3847704 -564.3696939
1035.1176864 -638.3847704 -564.3716954
1035.1614668 -638.3847704 -564.3736561
1035.2052483 -638.3847704 -564.3755940
1035.2490302 -638.3847704 -564.3775220
1035.2928123 -638.3847704 -564.3794484
1035.3365940 -638.3847704 -564.3813812
1035.3803751 -638.3847704 -564.3833286
1035.4241551 -638.3847704 -564.3852986
1034.6364693 -638.3847704 -564.3434994
1034.6801650 -638.3847704 -564.3468544
1035.6430262 -638.3847704 -564.3957719
1035.6867925 -638.3847704 -564.3980311
1035.7305571 -638.3847704 -564.4003205
1035.7743216 -638.3847704 -564.4026147
1035.8180870 -638.3847704 -564.4048882
1035.8618549 -638.3847704 -564.4071155
1035.9056263 -638.3847704 -564.4092712
1035.9494024 -638.3847704 -564.4113298
1035.9931840 -638.3847704 -564.4132656
1036.0369720 -638.3847704 -564.4150531
1036.0807665 -638.3847704 -564.4166670
1036.1245673 -638.3847704 -564.4180978
1036.1683735 -638.3847704 -564.4193569
1036.2121839 -638.3847704 -564.4204569
1035.4679338 -638.3847704 -564.3872994
1035.5117107 -638.3847704 -564.3893392
1035.5554853 -638.3847704 -564.3914258
1035.5992573 -638.3847704 -564.3935676
1036.2559978 -638.3847704 -564.4214104
1036.2998144 -638.3847704 -564.4222303
1036.3436331 -638.3847704 -564.4229293
1036.3874534 -638.3847704 -564.4235200
1036.4312749 -638.3847704 -564.4240153
1036.4750972 -638.3847704 -564.4244279
1036.5189202 -638.3847704 -564.4247708
1036.5627436 -638.3847704 -564.4250629
1036.6065672 -638.3847704 -564.4253324
1036.6503907 -638.3847704 -564.4256078
1036.6942140 -638.3847704 -564.4259182
1036.7380367 -638.3847704 -564.4262922
1036.7818586 -638.3847704 -564.4267587
1036.8256789 -638.3847704 -564.4273465
1036.8694970 -638.3847704 -564.4280844
1036.9133117 -638.3847704 -564.4290013
1036.9571214 -638.3847704 -564.4301255
1037.0009252 -638.3847704 -564.4314671
1037.0447225 -638.3847704 -564.4330048
1037.2636245 -638.3847704 -564.4427831
1037.3073935 -638.3847704 -564.4449869
1037.3511611 -638.3847704 -564.4472170
1037.3949286 -638.3847704 -564.4494491
1037.4386967 -638.3847704 -564.4516686
1037.4824653 -638.3847704 -564.4538784
1037.5262341 -638.3847704 -564.4560835
1037.5700030 -638.3847704 -564.4582891
1037.6137715 -638.3847704 -564.4605002
1037.6575395 -638.3847704 -564.4627218
1037.7013067 -638.3847704 -564.4649589
1037.7450729 -638.3847704 -564.4672167
1037.7888377 -638.3847704 -564.4695000
1037.8326009 -638.3847704 -564.4718141
1037.8763622 -638.3847704 -564.4741655
1037.0885134 -638.3847704 -564.4347142
1037.1322984 -638.3847704 -564.4365709
1037.1760780 -638.3847704 -564.4385509
1037.2198531 -638.3847704 -564.4406297
1038.1388494 -638.3847704 -564.4896719
1038.1825763 -638.3847704 -564.4925930
1038.2262946 -638.3847704 -564.4956398
1038.2700032 -638.3847704 -564.4988234
1038.3137011 -638.3847704 -564.5021505
1038.3573882 -638.3847704 -564.5056159
1038.4010648 -638.3847704 -564.5092124
1038.4447310 -638.3847704 -564.5129328
1038.4883871 -638.3847704 -564.5167700
1038.5320334 -638.3847704 -564.5207169
1038.5756703 -638.3847704 -564.5247662
1038.6192982 -638.3847704 -564.5289109
1038.6629177 -638.3847704 -564.5331439
1037.9201208 -638.3847704 -564.4765650
1037.9638762 -638.3847704 -564.4790236
1038.0076275 -638.3847704 -564.4815525
1038.0513741 -638.3847704 -564.4841627
1038.0951150 -638.3847704 -564.4868655
1039.4899005 -638.3847704 -564.6298051
1039.0986408 -638.3847704 -564.5800114
1039.1421562 -638.3847704 -564.5852063
1039.1856592 -638.3847704 -564.5905036
1039.2291505 -638.3847704 -564.5958969
1039.2726307 -638.3847704 -564.6013780
1039.3161009 -638.3847704 -564.6069383
1039.3595620 -638.3847704 -564.6125695
1039.4030150 -638.3847704 -564.6182633
1039.4464608 -638.3847704 -564.6240113
1038.7065292 -638.3847704 -564.5374581
1038.7501331 -638.3847704 -564.5418483
1038.7937291 -638.3847704 -564.5463161
1038.8373168 -638.3847704 -564.5508644
1038.8808957 -638.3847704 -564.5554963
1038.9244653 -638.3847704 -564.5602146
1038.9680252 -638.3847704 -564.5650223
1039.0115747 -638.3847704 -564.5699223
1039.0551135 -638.3847704 -564.5749177
1040.2292506 -638.3847704 -564.7210462
1040.2728727 -638.3847704 -564.7252518
1040.3165056 -638.3847704 -564.7293436
1039.8373876 -638.3847704 -564.6763793
1039.8808556 -638.3847704 -564.6819563
1039.9243391 -638.3847704 -564.6874106
1039.9678404 -638.3847704 -564.6927212
1040.0113614 -638.3847704 -564.6978676
1040.0549036 -638.3847704 -564.7028324
1040.0984656 -638.3847704 -564.7076200
1040.1420453 -638.3847704 -564.7122431
1040.1856410 -638.3847704 -564.7167142
1039.5333352 -638.3847704 -564.6356363
1039.5767660 -638.3847704 -564.6414967
1039.6201942 -638.3847704 -564.6473763
1039.6636221 -638.3847704 -564.6532570
1039.7070527 -638.3847704 -564.6591183
1039.7504887 -638.3847704 -564.6649396
1039.7939328 -638.3847704 -564.6707002
1040.7094864 -638.3847704 -564.7629770
1040.7531669 -638.3847704 -564.7665252
1040.7968482 -638.3847704 -564.7700633
1040.8405298 -638.3847704 -564.7735989
1040.8842110 -638.3847704 -564.7771391
1040.9278912 -638.3847704 -564.7806908
1040.9715706 -638.3847704 -564.7842533
1041.0152494 -638.3847704 -564.7878223
1041.0589281 -638.3847704 -564.7913930
1041.1026070 -638.3847704 -564.7949610
1041.1462865 -638.3847704 -564.7985218
1040.3601478 -638.3847704 -564.7333344
1040.4037981 -638.3847704 -564.7372368
1040.4474550 -638.3847704 -564.7410637
1040.4911175 -638.3847704 -564.7448272
1040.5347846 -638.3847704 -564.7485363
1040.5784557 -638.3847704 -564.7521985
1040.6221302 -638.3847704 -564.7558210
1040.6658072 -638.3847704 -564.7594114
1041.2773322 -638.3847704 -564.8091148
1041.3210177 -638.3847704 -564.8126009
1041.3647057 -638.3847704 -564.8160564
1041.4083969 -638.3847704 -564.8194702
1041.4520926 -638.3847704 -564.8228266
1041.4957938 -638.3847704 -564.8261101
1041.5395016 -638.3847704 -564.8293048
1041.5832169 -638.3847704 -564.8323952
1041.6269405 -638.3847704 -564.8353654
1041.6706730 -638.3847704 -564.8381999
1041.7144152 -638.3847704 -564.8408828
1041.7581672 -638.3847704 -564.8433984
1041.8019294 -638.3847704 -564.8457311
1041.8457017 -638.3847704 -564.8478675
1041.8894837 -638.3847704 -564.8497965
1041.9332747 -638.3847704 -564.8515068
1041.9770740 -638.3847704 -564.8529871
1041.1899670 -638.3847704 -564.8020707
1041.2336487 -638.3847704 -564.8056032
1042.0646940 -638.3847704 -564.8552129
1042.1085124 -638.3847704 -564.8559357
1042.1523343 -638.3847704 -564.8563835
1042.1961583 -638.3847704 -564.8565450
1042.2399823 -638.3847704 -564.8564095
1042.2838044 -638.3847704 -564.8559769
1042.3276228 -638.3847704 -564.8552585
1042.0208808 -638.3847704 -564.8542262
1042.3714358 -638.3847704 -564.8542658
1042.4152422 -638.3847704 -564.8530106
1042.4590406 -638.3847704 -564.8515044
1042.5028302 -638.3847704 -564.8497588
1042.5466102 -638.3847704 -564.8477856
1042.5903799 -638.3847704 -564.8455963
1042.6341389 -638.3847704 -564.8432025
1042.6778868 -638.3847704 -564.8406156
1042.7216235 -638.3847704 -564.8378449
1042.7653486 -638.3847704 -564.8348962
1042.8090617 -638.3847704 -564.8317757
1042.8527627 -638.3847704 -564.8284891
1042.8964513 -638.3847704 -564.8250425
1042.9401275 -638.3847704 -564.8214416
1042.9837912 -638.3847704 -564.8176924
1043.0274425 -638.3847704 -564.8138008
